sample.date,exp.plate,t.exp,time.hr,bio.rep,veg.ml,spore.ml,cell.ml,perc.spore
MON22,plt1,T0,0,br1,1553333,921833,2475166,37.24327984466496
MON22,plt1,T0,0,br2,841889,828222,1670111,49.59083557919204
MON22,plt1,T0,0,br3,767778,439222,1207000,36.389560894780445
MON22,plt1,T0,0,br4,850333,373889,1224222,30.54094763858189
TUE08,plt1,T10,10,br1,123589164,71574385,195163549,36.67405382139264
TUE08,plt1,T10,10,br2,160848019,89383558,250231577,35.72033516777141
TUE08,plt1,T10,10,br3,169638878,117363911,287002789,40.89295139219013
TUE08,plt1,T10,10,br4,217183870,31070507,248254377,12.515592826788307
TUE08,plt2,T0,0,br1,1075778,799000,1874778,42.61837934944831
TUE08,plt2,T0,0,br2,3336667,618778,3955445,15.643701277605933
TUE08,plt2,T0,0,br3,3079667,0,3079667,0
TUE08,plt2,T0,0,br4,1873222,850667,2723889,31.229870233331827
TUE10,plt1,T12,12,br1,528190734,177881216,706071950,25.193072179117156
TUE10,plt1,T12,12,br2,390662202,66525197,457187399,14.550969065531921
TUE10,plt1,T12,12,br3,323351248,39390324,362741572,10.859059738540251
TUE10,plt1,T12,12,br4,280201452,35089777,315291229,11.129322281274117
TUE10,plt2,T2,2,br1,14766350,0,14766350,0
TUE10,plt2,T2,2,br2,26091493,0,26091493,0
TUE10,plt2,T2,2,br3,13852333,0,13852333,0
TUE10,plt2,T2,2,br4,10465556,0,10465556,0
TUE12,plt1,T14,14,br1,511257875,387564009,898821884,43.11911134998578
TUE12,plt1,T14,14,br2,513090401,289416324,802506725,36.06403722037345
TUE12,plt1,T14,14,br3,494184670,277211808,771396478,35.93635904570464
TUE12,plt1,T14,14,br4,375286957,237048615,612335572,38.71220713599177
TUE12,plt2,T4,4,br1,638654192,0,638654192,0
TUE12,plt2,T4,4,br2,559113249,0,559113249,0
TUE12,plt2,T4,4,br3,609819881,24688,609844569,0.0040482446273945585
TUE12,plt2,T4,4,br4,603545820,0,603545820,0
TUE14,plt1,T16,16,br1,477470895,571274550,1048745445,54.47218414378906
TUE14,plt1,T16,16,br2,524093101,573976038,1098069139,52.271393267887845
TUE14,plt1,T16,16,br3,444594395,504004143,948598538,53.13144842734303
TUE14,plt1,T16,16,br4,474914973,500713765,975628738,51.322162365414044
TUE14,plt2,T06,6,br1,335030398,638006,335668404,0.1900703171335721
TUE14,plt2,T06,6,br2,443997754,202425,444200179,0.04557067051519581
TUE14,plt2,T06,6,br3,466155230,687654,466842884,0.14729880727923872
TUE14,plt2,T06,6,br4,458287404,15917,458303321,0.003473027418887065
TUE16,plt1,T18,18,br1,425204743,836593250,1261797993,66.30167860791644
TUE16,plt1,T18,18,br2,432636691,781978335,1214615026,64.38075589886536
TUE16,plt1,T18,18,br3,409699710,708117194,1117816904,63.348227376600846
TUE16,plt1,T18,18,br4,487408789,768921329,1256330118,61.20376467803504
TUE16,plt2,T08,8,br1,145520273,0,145520273,0
TUE16,plt2,T08,8,br2,301392375,77541,301469916,0.02572097442717966
TUE16,plt2,T08,8,br3,376772461,35904,376808365,0.009528450887760944
TUE16,plt2,T08,8,br4,299432306,208246,299640552,0.0694986037804389
TUE16,plt3,T0,0,br1,2494667,0,2494667,0
TUE16,plt3,T0,0,br2,1396778,746111,2142889,34.81799570579717
TUE16,plt3,T0,0,br3,1877444,866556,2744000,31.58002915451895
TUE16,plt3,T0,0,br4,2178000,749333,2927333,25.597805237736875
TUE18,plt1,T20,20,br1,401575487,969826511,1371401998,70.71788668926818
TUE18,plt1,T20,20,br2,429005983,958418024,1387424007,69.07895633666948
TUE18,plt1,T20,20,br3,366086664,940088102,1306174766,71.97261243064008
TUE18,plt1,T20,20,br4,412799280,1041736739,1454536019,71.6198653998406
TUE18,plt2,T10,10,br1,140768961,12874320,153643281,8.379357636862753
TUE18,plt2,T10,10,br2,260964226,2253703,263217929,0.8562118122280341
TUE18,plt2,T10,10,br3,232911582,8557,232920139,0.0036737913847801713
TUE18,plt2,T10,10,br4,221201273,13887,221215160,0.006277598696219554
TUE18,plt3,T2,2,br1,12559470,0,12559470,0
TUE18,plt3,T2,2,br2,42453473,0,42453473,0
TUE18,plt3,T2,2,br3,53362097,0,53362097,0
TUE18,plt3,T2,2,br4,63626487,10577298,74203785,14.25439147073158
WED10,plt1,T36,36,br1,113874020,1262732506,1376606526,91.72791804707745
WED10,plt1,T36,36,br2,212030024,1739135129,1951165153,89.13315852971263
WED10,plt1,T36,36,br3,194788652,1734403220,1929191872,89.90309596328218
WED10,plt1,T36,36,br4,249902265,1367985362,1617887627,84.5537934260993
WED10,plt2,T26,26,br1,130226283,1298619836,1428846119,90.885912676787
WED10,plt2,T26,26,br2,164173705,1232847292,1397020997,88.24830082349865
WED10,plt2,T26,26,br3,130614036,1257018902,1387632938,90.58727762773817
WED10,plt2,T26,26,br4,261066192,1449481305,1710547497,84.7378577643787
WED10,plt3,T18,18,br1,699180181,1426825083,2126005264,67.11296096772035
WED10,plt3,T18,18,br2,345189727,1115798823,1460988550,76.37286568741418
WED10,plt3,T18,18,br3,381338475,1177410578,1558749053,75.53560823237915
WED10,plt3,T18,18,br4,433728054,1299258357,1732986411,74.97221840592955
WED12,plt1,T38,38,br1,171726984,1670408441,1842135425,90.67783064863431
WED12,plt1,T38,38,br2,196504168,1681984992,1878489160,89.53924397413078
WED12,plt1,T38,38,br3,107795715,1041132791,1148928506,90.61771777468633
WED12,plt1,T38,38,br4,291596895,1459262428,1750859323,83.34549834075962
WED12,plt2,T28,28,br1,137690400,1110595854,1248286254,88.96964541916681
WED12,plt2,T28,28,br2,139623460,999959906,1139583366,87.74785029636875
WED12,plt2,T28,28,br3,140106960,1131444381,1271551341,88.98141541891543
WED12,plt2,T28,28,br4,203984402,1013062237,1217046639,83.23939317825929
WED12,plt3,T20,20,br1,263841364,1080697533,1344538897,80.37681434217369
WED12,plt3,T20,20,br2,356954958,822358412,1179313370,69.73196717001521
WED12,plt3,T20,20,br3,341538801,819108309,1160647110,70.5734156353519
WED12,plt3,T20,20,br4,419124259,829427830,1248552089,66.4311755438503
WED14,plt1,T40,40,br1,102342309,1153713797,1256056106,91.8520909606565
WED14,plt1,T40,40,br2,193587220,1484388747,1677975967,88.4630516880341
WED14,plt1,T40,40,br3,159421918,1374959614,1534381532,89.61002106221909
WED14,plt1,T40,40,br4,285931152,1403009559,1688940711,83.07038547074255
WED14,plt2,T30,30,br1,108203512,1047630543,1155834055,90.63849074770513
WED14,plt2,T30,30,br2,135089873,940875475,1075965348,87.444774754958
WED14,plt2,T30,30,br3,157401397,1141106783,1298508180,87.87828991574008
WED14,plt2,T30,30,br4,252935186,1099021679,1351956865,81.2911792862563
WED14,plt3,T22,22,br1,320308307,950184094,1270492401,74.78864834233669
WED14,plt3,T22,22,br2,363307079,1032401601,1395708680,73.969705554887
WED14,plt3,T22,22,br3,397263447,1089637790,1486901237,73.28245904203253
WED14,plt3,T22,22,br4,444207324,1188627722,1632835046,72.79533379148208
WED16,plt1,T42,42,br1,117411166,1102785209,1220196375,90.37768277257831
WED16,plt1,T42,42,br2,220002777,1522146754,1742149531,87.37176269400264
WED16,plt1,T42,42,br3,230916932,1643861008,1874777940,87.68297156302148
WED16,plt1,T42,42,br4,344488562,1584704328,1929192890,82.14338422115996
WED16,plt2,T32,32,br1,135908937,1063201676,1199110613,88.66585488223012
WED16,plt2,T32,32,br2,185606836,1206601119,1392207955,86.66816725666533
WED16,plt2,T32,32,br3,136821447,935055499,1071876946,87.23534007232954
WED16,plt2,T32,32,br4,339389450,1286702186,1626091636,79.12851634641825
WED16,plt3,T24,24,br1,261892571,1500141803,1762034374,85.13692043331272
WED16,plt3,T24,24,br2,314716725,1193424684,1508141409,79.13214748153632
WED16,plt3,T24,24,br3,269609444,1074802440,1344411884,79.94591931173379
WED16,plt3,T24,24,br4,431631441,1211228458,1642859899,73.72682592942151
